"Institute Name","Program Name","Seat Capacity","Female Supernumerary","Seat Capacity + Female Supernumerary"
"Indian Institute of Technology (BHU) Varanasi","Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",28,2,30
"Indian Institute of Technology (BHU) Varanasi","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",31,3,34
"Indian Institute of Technology (BHU) Varanasi","Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",29,1,30
"Indian Institute of Technology (BHU) Varanasi","Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",28,0,28
"Indian Institute of Technology (BHU) Varanasi","Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",30,2,32
"Indian Institute of Technology (BHU) Varanasi","Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",27,1,28
"Indian Institute of Technology (BHU) Varanasi","Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",28,2,30
"Indian Institute of Technology (BHU) Varanasi","Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",52,0,52
"Indian Institute of Technology (BHU) Varanasi","Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",27,1,28
"Indian Institute of Technology (BHU) Varanasi","Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",21,0,21
"Indian Institute of Technology (BHU) Varanasi","Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",21,0,21
"Indian Institute of Technology Guwahati","Chemical Engineering (4 Years, Bachelor of Technology)",87,10,97
"Indian Institute of Technology Guwahati","Chemical Science and Technology (4 Years, Bachelor of Technology)",61,4,65
"Indian Institute of Technology Guwahati","Civil Engineering (4 Years, Bachelor of Technology)",99,18,117
"Indian Institute of Technology Guwahati","Computer Science and Engineering (4 Years, Bachelor of Technology)",99,15,114
"Indian Institute of Technology Guwahati","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",90,14,104
"Indian Institute of Technology Guwahati","Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",52,10,62
"Indian Institute of Technology Guwahati","Engineering Physics (4 Years, Bachelor of Technology)",61,7,68
"Indian Institute of Technology Guwahati","Mathematics and Computing (4 Years, Bachelor of Technology)",68,4,72
"Indian Institute of Technology Guwahati","Mechanical Engineering (4 Years, Bachelor of Technology)",99,20,119
"Indian Institute of Technology Guwahati","Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Guwahati","Biosciences and Bioengineering (4 Years, Bachelor of Technology)",79,5,84
"Indian Institute of Technology Guwahati","Energy Engineering (4 Years, Bachelor of Technology)",20,0,20
"Indian Institute of Technology Bhilai","Computer Science and Engineering (4 Years, Bachelor of Technology)",50,5,55
"Indian Institute of Technology Bhilai","Electrical Engineering (4 Years, Bachelor of Technology)",50,0,50
"Indian Institute of Technology Bhilai","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Bhilai","Mechanical Engineering (4 Years, Bachelor of Technology)",50,4,54
"Indian Institute of Technology Bhilai","Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",20,0,20
"Indian Institute of Technology Bhilai","Mechatronics Engineering (4 Years, Bachelor of Technology)",20,0,20
"Indian Institute of Technology Bhilai","Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Goa","Computer Science and Engineering (4 Years, Bachelor of Technology)",32,8,40
"Indian Institute of Technology Goa","Electrical Engineering (4 Years, Bachelor of Technology)",34,9,43
"Indian Institute of Technology Goa","Mathematics and Computing (4 Years, Bachelor of Technology)",23,6,29
"Indian Institute of Technology Goa","Mechanical Engineering (4 Years, Bachelor of Technology)",36,9,45
"Indian Institute of Technology Palakkad","Civil Engineering (4 Years, Bachelor of Technology)",32,8,40
"Indian Institute of Technology Palakkad","Computer Science and Engineering (4 Years, Bachelor of Technology)",32,8,40
"Indian Institute of Technology Palakkad","Electrical Engineering (4 Years, Bachelor of Technology)",32,8,40
"Indian Institute of Technology Palakkad","Mechanical Engineering (4 Years, Bachelor of Technology)",32,8,40
"Indian Institute of Technology Palakkad","Data Science and Engineering (4 Years, Bachelor of Technology)",32,8,40
"Indian Institute of Technology Tirupati","Chemical Engineering (4 Years, Bachelor of Technology)",37,2,39
"Indian Institute of Technology Tirupati","Civil Engineering (4 Years, Bachelor of Technology)",37,2,39
"Indian Institute of Technology Tirupati","Computer Science and Engineering (4 Years, Bachelor of Technology)",50,3,53
"Indian Institute of Technology Tirupati","Electrical Engineering (4 Years, Bachelor of Technology)",57,3,60
"Indian Institute of Technology Tirupati","Engineering Physics (4 Years, Bachelor of Technology)",10,0,10
"Indian Institute of Technology Tirupati","Mechanical Engineering (4 Years, Bachelor of Technology)",50,3,53
"Indian Institute of Technology Jammu","Chemical Engineering (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Jammu","Civil Engineering (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Jammu","Computer Science and Engineering (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Jammu","Electrical Engineering (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Jammu","Mathematics and Computing (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Jammu","Mechanical Engineering (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Jammu","Materials Engineering (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Dharwad","Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",28,2,30
"Indian Institute of Technology Dharwad","Computer Science and Engineering (4 Years, Bachelor of Technology)",62,3,65
"Indian Institute of Technology Dharwad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",42,3,45
"Indian Institute of Technology Dharwad","Engineering Physics (4 Years, Bachelor of Technology)",28,2,30
"Indian Institute of Technology Dharwad","Mathematics and Computing (4 Years, Bachelor of Technology)",28,2,30
"Indian Institute of Technology Dharwad","Mechanical Engineering (4 Years, Bachelor of Technology)",62,3,65
"Indian Institute of Technology Dharwad","Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",28,2,30
"Indian Institute of Technology Dharwad","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",28,2,30
"Indian Institute of Technology Dharwad","Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",57,3,60
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology) PUNJAB",25,0,25
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology) Other than PUNJAB",25,0,25
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology) PUNJAB",37,0,37
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",37,0,37
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology) PUNJAB",42,0,42
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",43,0,43
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology) PUNJAB",15,0,15
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",15,0,15
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology) PUNJAB",79,0,79
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",79,0,79
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology) PUNJAB",30,0,30
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",30,0,30
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) PUNJAB",43,0,43
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",43,0,43
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mathematics and Computing (4 Years, Bachelor of Technology) PUNJAB",20,0,20
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mathematics and Computing (4 Years, Bachelor of Technology) Other than PUNJAB",20,0,20
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology) PUNJAB",55,0,55
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",55,0,55
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology) PUNJAB",37,2,39
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology) Other than PUNJAB",38,1,39
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology) PUNJAB",60,0,60
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology) Other than PUNJAB",60,0,60
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology) PUNJAB",50,0,50
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",50,0,50
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology) PUNJAB",38,0,38
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",37,0,37
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology) PUNJAB",20,0,20
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",20,0,20
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology) RAJASTHAN",58,0,58
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",57,0,57
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology) RAJASTHAN",57,0,57
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",58,0,58
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology) RAJASTHAN",58,0,58
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",59,0,59
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology) RAJASTHAN",58,0,58
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",59,0,59
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology) RAJASTHAN",59,0,59
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",58,0,58
"Malaviya National Institute of Technology Jaipur","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology) RAJASTHAN",20,0,20
"Malaviya National Institute of Technology Jaipur","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",20,0,20
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology) RAJASTHAN",59,0,59
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",57,0,57
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) RAJASTHAN",37,0,37
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",37,0,37
"Malaviya National Institute of Technology Jaipur","Architecture (5 Years, Bachelor of Architecture) RAJASTHAN",38,0,38
"Malaviya National Institute of Technology Jaipur","Architecture (5 Years, Bachelor of Architecture) Other than RAJASTHAN",39,0,39
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",31,8,39
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",31,8,39
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",45,12,57
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",45,11,56
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",91,23,114
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",92,23,115
"Maulana Azad National Institute of Technology Bhopal","Electrical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",55,13,68
"Maulana Azad National Institute of Technology Bhopal","Electrical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",54,14,68
"Maulana Azad National Institute of Technology Bhopal","Electronics and Communication Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",69,18,87
"Maulana Azad National Institute of Technology Bhopal","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",69,17,86
"Maulana Azad National Institute of Technology Bhopal","Mechanical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",86,21,107
"Maulana Azad National Institute of Technology Bhopal","Mechanical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",86,21,107
"Maulana Azad National Institute of Technology Bhopal","Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",31,8,39
"Maulana Azad National Institute of Technology Bhopal","Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",31,8,39
"Maulana Azad National Institute of Technology Bhopal","Planning (4 Years, Bachelor of Planning) MADHYA PRADESH",21,5,26
"Maulana Azad National Institute of Technology Bhopal","Planning (4 Years, Bachelor of Planning) Other than MADHYA PRADESH",21,5,26
"Maulana Azad National Institute of Technology Bhopal","Architecture (5 Years, Bachelor of Architecture) MADHYA PRADESH",40,10,50
"Maulana Azad National Institute of Technology Bhopal","Architecture (5 Years, Bachelor of Architecture) Other than MADHYA PRADESH",40,10,50
"Maulana Azad National Institute of Technology Bhopal","Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) MADHYA PRADESH",12,3,15
"Maulana Azad National Institute of Technology Bhopal","Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than MADHYA PRADESH",12,3,15
"Motilal Nehru National Institute of Technology Allahabad","Bio Technology (4 Years, Bachelor of Technology) UTTAR PRADESH",28,2,30
"Motilal Nehru National Institute of Technology Allahabad","Bio Technology (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",29,1,30
"Motilal Nehru National Institute of Technology Allahabad","Chemical Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",29,1,30
"Motilal Nehru National Institute of Technology Allahabad","Chemical Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",28,2,30
"Motilal Nehru National Institute of Technology Allahabad","Civil Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",57,3,60
"Motilal Nehru National Institute of Technology Allahabad","Civil Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",58,3,61
"Motilal Nehru National Institute of Technology Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",154,9,163
"Motilal Nehru National Institute of Technology Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",154,8,162
"Motilal Nehru National Institute of Technology Allahabad","Electrical Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",48,3,51
"Motilal Nehru National Institute of Technology Allahabad","Electrical Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",49,3,52
"Motilal Nehru National Institute of Technology Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",87,4,91
"Motilal Nehru National Institute of Technology Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",86,5,91
"Motilal Nehru National Institute of Technology Allahabad","Mechanical Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",77,5,82
"Motilal Nehru National Institute of Technology Allahabad","Mechanical Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",77,4,81
"Motilal Nehru National Institute of Technology Allahabad","Materials Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",15,0,15
"Motilal Nehru National Institute of Technology Allahabad","Materials Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",15,0,15
"Motilal Nehru National Institute of Technology Allahabad","Production and Industrial Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",29,1,30
"Motilal Nehru National Institute of Technology Allahabad","Production and Industrial Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",28,2,30
"Motilal Nehru National Institute of Technology Allahabad","Engineering and Computational Mechanics (4 Years, Bachelor of Technology) UTTAR PRADESH",15,0,15
"Motilal Nehru National Institute of Technology Allahabad","Engineering and Computational Mechanics (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",15,0,15
"National Institute of Technology Agartala","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology) TRIPURA",19,6,25
"National Institute of Technology Agartala","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",19,6,25
"National Institute of Technology Agartala","Chemical Engineering (4 Years, Bachelor of Technology) TRIPURA",29,8,37
"National Institute of Technology Agartala","Chemical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",30,8,38
"National Institute of Technology Agartala","Civil Engineering (4 Years, Bachelor of Technology) TRIPURA",46,13,59
"National Institute of Technology Agartala","Civil Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",46,13,59
"National Institute of Technology Agartala","Computer Science and Engineering (4 Years, Bachelor of Technology) TRIPURA",59,16,75
"National Institute of Technology Agartala","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",58,17,75
"National Institute of Technology Agartala","Electrical Engineering (4 Years, Bachelor of Technology) TRIPURA",48,14,62
"National Institute of Technology Agartala","Electrical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",50,13,63
"National Institute of Technology Agartala","Electronics and Communication Engineering (4 Years, Bachelor of Technology) TRIPURA",49,15,64
"National Institute of Technology Agartala","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",51,13,64
"National Institute of Technology Agartala","Mechanical Engineering (4 Years, Bachelor of Technology) TRIPURA",48,14,62
"National Institute of Technology Agartala","Mechanical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",50,13,63
"National Institute of Technology Agartala","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) TRIPURA",29,8,37
"National Institute of Technology Agartala","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",30,8,38
"National Institute of Technology Agartala","Production Engineering (4 Years, Bachelor of Technology) TRIPURA",44,12,56
"National Institute of Technology Agartala","Production Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",45,12,57
"National Institute of Technology Agartala","Computational Mathematics (5 Years, Bachelor of Technology) TRIPURA",12,0,12
"National Institute of Technology Agartala","Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than TRIPURA",13,0,13
"National Institute of Technology Agartala","Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree)) TRIPURA",12,0,12
"National Institute of Technology Agartala","Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than TRIPURA",13,0,13
"National Institute of Technology Agartala","Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12,0,12
"National Institute of Technology Agartala","Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13,0,13
"National Institute of Technology Agartala","Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12,0,12
"National Institute of Technology Agartala","Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13,0,13
"National Institute of Technology Agartala","Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12,0,12
"National Institute of Technology Agartala","Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13,0,13
"National Institute of Technology Calicut","Bio Technology (4 Years, Bachelor of Technology) KERALA",18,0,18
"National Institute of Technology Calicut","Bio Technology (4 Years, Bachelor of Technology) Other than KERALA",19,0,19
"National Institute of Technology Calicut","Chemical Engineering (4 Years, Bachelor of Technology) KERALA",58,0,58
"National Institute of Technology Calicut","Chemical Engineering (4 Years, Bachelor of Technology) Other than KERALA",58,0,58
"National Institute of Technology Calicut","Civil Engineering (4 Years, Bachelor of Technology) KERALA",86,0,86
"National Institute of Technology Calicut","Civil Engineering (4 Years, Bachelor of Technology) Other than KERALA",86,0,86
"National Institute of Technology Calicut","Computer Science and Engineering (4 Years, Bachelor of Technology) KERALA",86,4,90
"National Institute of Technology Calicut","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than KERALA",86,3,89
"National Institute of Technology Calicut","Electronics and Communication Engineering (4 Years, Bachelor of Technology) KERALA",86,1,87
"National Institute of Technology Calicut","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than KERALA",86,0,86
"National Institute of Technology Calicut","Engineering Physics (4 Years, Bachelor of Technology) KERALA",18,0,18
"National Institute of Technology Calicut","Engineering Physics (4 Years, Bachelor of Technology) Other than KERALA",19,0,19
"National Institute of Technology Calicut","Materials Science and Engineering (4 Years, Bachelor of Technology) KERALA",15,0,15
"National Institute of Technology Calicut","Materials Science and Engineering (4 Years, Bachelor of Technology) Other than KERALA",15,0,15
"National Institute of Technology Calicut","Mechanical Engineering (4 Years, Bachelor of Technology) KERALA",85,18,103
"National Institute of Technology Calicut","Mechanical Engineering (4 Years, Bachelor of Technology) Other than KERALA",85,18,103
"National Institute of Technology Calicut","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) KERALA",86,0,86
"National Institute of Technology Calicut","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than KERALA",86,0,86
"National Institute of Technology Calicut","Production Engineering (4 Years, Bachelor of Technology) KERALA",30,0,30
"National Institute of Technology Calicut","Production Engineering (4 Years, Bachelor of Technology) Other than KERALA",29,0,29
"National Institute of Technology Calicut","Architecture (5 Years, Bachelor of Architecture) KERALA",29,0,29
"National Institute of Technology Calicut","Architecture (5 Years, Bachelor of Architecture) Other than KERALA",30,0,30
"National Institute of Technology Delhi","Aerospace Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",12,0,12
"National Institute of Technology Delhi","Aerospace Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12,0,12
"National Institute of Technology Delhi","Civil Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",13,0,13
"National Institute of Technology Delhi","Civil Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12,0,12
"National Institute of Technology Delhi","Computer Science and Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",60,0,60
"National Institute of Technology Delhi","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",60,0,60
"National Institute of Technology Delhi","Electrical Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",30,0,30
"National Institute of Technology Delhi","Electrical Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",30,0,30
"National Institute of Technology Delhi","Electronics and Communication Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",30,0,30
"National Institute of Technology Delhi","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",30,0,30
"National Institute of Technology Delhi","VLSI Design and Technology (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",13,0,13
"National Institute of Technology Delhi","VLSI Design and Technology (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12,0,12
"National Institute of Technology Delhi","Mechanical Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",20,0,20
