"Institute Name","Program Name","Seat Capacity","Female Supernumerary","Seat Capacity + Female Supernumerary"
"National Institute of Technology Delhi","Mechanical Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",20,0,20
"National Institute of Technology Delhi","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",10,0,10
"National Institute of Technology Delhi","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",10,0,10
"National Institute of Technology Durgapur","Bio Technology (4 Years, Bachelor of Technology) WEST BENGAL",38,0,38
"National Institute of Technology Durgapur","Bio Technology (4 Years, Bachelor of Technology) Other than WEST BENGAL",37,0,37
"National Institute of Technology Durgapur","Chemical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",37,0,37
"National Institute of Technology Durgapur","Chemical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",38,0,38
"National Institute of Technology Durgapur","Civil Engineering (4 Years, Bachelor of Technology) WEST BENGAL",40,0,40
"National Institute of Technology Durgapur","Civil Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",40,0,40
"National Institute of Technology Durgapur","Computer Science and Engineering (4 Years, Bachelor of Technology) WEST BENGAL",94,0,94
"National Institute of Technology Durgapur","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",93,0,93
"National Institute of Technology Durgapur","Electrical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",50,0,50
"National Institute of Technology Durgapur","Electrical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",50,0,50
"National Institute of Technology Durgapur","Electronics and Communication Engineering (4 Years, Bachelor of Technology) WEST BENGAL",49,0,49
"National Institute of Technology Durgapur","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",48,0,48
"National Institute of Technology Durgapur","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology) WEST BENGAL",30,0,30
"National Institute of Technology Durgapur","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology) Other than WEST BENGAL",30,0,30
"National Institute of Technology Durgapur","Mechanical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",94,0,94
"National Institute of Technology Durgapur","Mechanical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",93,0,93
"National Institute of Technology Durgapur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) WEST BENGAL",37,0,37
"National Institute of Technology Durgapur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",38,0,38
"National Institute of Technology Durgapur","Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) WEST BENGAL",4,0,4
"National Institute of Technology Durgapur","Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than WEST BENGAL",3,0,3
"National Institute of Technology Durgapur","Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree)) WEST BENGAL",4,0,4
"National Institute of Technology Durgapur","Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than WEST BENGAL",3,0,3
"National Institute of Technology Durgapur","Chemistry (5 Years, Integrated Master of Science) WEST BENGAL",9,0,9
"National Institute of Technology Durgapur","Chemistry (5 Years, Integrated Master of Science) Other than WEST BENGAL",10,0,10
"National Institute of Technology Goa","Civil Engineering (4 Years, Bachelor of Technology) GOA",14,0,14
"National Institute of Technology Goa","Civil Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",4,0,4
"National Institute of Technology Goa","Civil Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",19,0,19
"National Institute of Technology Goa","Computer Science and Engineering (4 Years, Bachelor of Technology) GOA",20,0,20
"National Institute of Technology Goa","Computer Science and Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5,0,5
"National Institute of Technology Goa","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25,0,25
"National Institute of Technology Goa","Electronics and Communication Engineering (4 Years, Bachelor of Technology) GOA",20,0,20
"National Institute of Technology Goa","Electronics and Communication Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5,0,5
"National Institute of Technology Goa","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25,0,25
"National Institute of Technology Goa","Mechanical Engineering (4 Years, Bachelor of Technology) GOA",15,0,15
"National Institute of Technology Goa","Mechanical Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",4,0,4
"National Institute of Technology Goa","Mechanical Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",18,0,18
"National Institute of Technology Goa","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) GOA",20,0,20
"National Institute of Technology Goa","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5,0,5
"National Institute of Technology Goa","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25,0,25
"National Institute of Technology Hamirpur","Chemical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",38,0,38
"National Institute of Technology Hamirpur","Chemical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",38,0,38
"National Institute of Technology Hamirpur","Civil Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62,0,62
"National Institute of Technology Hamirpur","Civil Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",61,0,61
"National Institute of Technology Hamirpur","Computer Science and Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62,0,62
"National Institute of Technology Hamirpur","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",62,0,62
"National Institute of Technology Hamirpur","Electrical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62,0,62
"National Institute of Technology Hamirpur","Electrical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",63,0,63
"National Institute of Technology Hamirpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",59,0,59
"National Institute of Technology Hamirpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",58,0,58
"National Institute of Technology Hamirpur","Engineering Physics (4 Years, Bachelor of Technology) HIMACHAL PRADESH",25,0,25
"National Institute of Technology Hamirpur","Engineering Physics (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",25,0,25
"National Institute of Technology Hamirpur","Materials Science and Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",20,0,20
"National Institute of Technology Hamirpur","Materials Science and Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",20,0,20
"National Institute of Technology Hamirpur","Mathematics and Computing (4 Years, Bachelor of Technology) HIMACHAL PRADESH",25,0,25
"National Institute of Technology Hamirpur","Mathematics and Computing (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",25,0,25
"National Institute of Technology Hamirpur","Mechanical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62,0,62
"National Institute of Technology Hamirpur","Mechanical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",63,0,63
"National Institute of Technology Hamirpur","Architecture (5 Years, Bachelor of Architecture) HIMACHAL PRADESH",29,0,29
"National Institute of Technology Hamirpur","Architecture (5 Years, Bachelor of Architecture) Other than HIMACHAL PRADESH",29,0,29
"National Institute of Technology Hamirpur","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HIMACHAL PRADESH",14,0,14
"National Institute of Technology Hamirpur","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HIMACHAL PRADESH",14,0,14
"National Institute of Technology Hamirpur","Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HIMACHAL PRADESH",14,0,14
"National Institute of Technology Hamirpur","Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HIMACHAL PRADESH",14,0,14
"National Institute of Technology Karnataka, Surathkal","Chemical Engineering (4 Years, Bachelor of Technology) KARNATAKA",29,0,29
"National Institute of Technology Karnataka, Surathkal","Chemical Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29,0,29
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology) KARNATAKA",58,0,58
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",57,0,57
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology) KARNATAKA",15,0,15
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology) Other than KARNATAKA",15,0,15
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology) KARNATAKA",57,0,57
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58,0,58
"National Institute of Technology Karnataka, Surathkal","Electronics and Communication Engineering (4 Years, Bachelor of Technology) KARNATAKA",58,0,58
"National Institute of Technology Karnataka, Surathkal","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58,0,58
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology) KARNATAKA",87,0,87
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",87,0,87
"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) KARNATAKA",29,1,30
"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29,0,29
"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology) KARNATAKA",29,0,29
"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29,1,30
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) KARNATAKA",58,0,58
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58,0,58
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology) KARNATAKA",38,0,38
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology) Other than KARNATAKA",38,0,38
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology) KARNATAKA",20,0,20
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology) Other than KARNATAKA",20,0,20
"National Institute of Technology Meghalaya","Civil Engineering (4 Years, Bachelor of Technology) MEGHALAYA",17,0,17
"National Institute of Technology Meghalaya","Civil Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",16,0,16
"National Institute of Technology Meghalaya","Computer Science and Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16,0,16
"National Institute of Technology Meghalaya","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17,0,17
"National Institute of Technology Meghalaya","Electronics and Communication Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16,0,16
"National Institute of Technology Meghalaya","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17,0,17
"National Institute of Technology Meghalaya","Mechanical Engineering (4 Years, Bachelor of Technology) MEGHALAYA",17,0,17
"National Institute of Technology Meghalaya","Mechanical Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",16,0,16
"National Institute of Technology Meghalaya","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16,0,16
"National Institute of Technology Meghalaya","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17,0,17
"National Institute of Technology Nagaland","Civil Engineering (4 Years, Bachelor of Technology) NAGALAND",15,0,15
"National Institute of Technology Nagaland","Civil Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18,0,18
"National Institute of Technology Nagaland","Computer Science and Engineering (4 Years, Bachelor of Technology) NAGALAND",15,0,15
"National Institute of Technology Nagaland","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18,0,18
"National Institute of Technology Nagaland","Electronics and Communication Engineering (4 Years, Bachelor of Technology) NAGALAND",15,0,15
"National Institute of Technology Nagaland","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18,1,19
"National Institute of Technology Nagaland","Mechanical Engineering (4 Years, Bachelor of Technology) NAGALAND",15,0,15
"National Institute of Technology Nagaland","Mechanical Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18,1,19
"National Institute of Technology Nagaland","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) NAGALAND",15,0,15
"National Institute of Technology Nagaland","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18,0,18
"National Institute of Technology Nagaland","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) NAGALAND",15,0,15
"National Institute of Technology Nagaland","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18,0,18
"National Institute of Technology Patna","Civil Engineering (4 Years, Bachelor of Technology) BIHAR",60,0,60
"National Institute of Technology Patna","Civil Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60,0,60
"National Institute of Technology Patna","Computer Science and Engineering (4 Years, Bachelor of Technology) BIHAR",100,0,100
"National Institute of Technology Patna","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than BIHAR",99,0,99
"National Institute of Technology Patna","Electrical Engineering (4 Years, Bachelor of Technology) BIHAR",60,0,60
"National Institute of Technology Patna","Electrical Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60,0,60
"National Institute of Technology Patna","Electronics and Communication Engineering (4 Years, Bachelor of Technology) BIHAR",79,0,79
"National Institute of Technology Patna","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than BIHAR",79,0,79
"National Institute of Technology Patna","Mechatronics and Automation Engineering (4 Years, Bachelor of Technology) BIHAR",13,0,13
"National Institute of Technology Patna","Mechatronics and Automation Engineering (4 Years, Bachelor of Technology) Other than BIHAR",13,0,13
"National Institute of Technology Patna","Mechanical Engineering (4 Years, Bachelor of Technology) BIHAR",60,0,60
"National Institute of Technology Patna","Mechanical Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60,0,60
"National Institute of Technology Patna","Architecture (5 Years, Bachelor of Architecture) BIHAR",23,0,23
"National Institute of Technology Patna","Architecture (5 Years, Bachelor of Architecture) Other than BIHAR",22,0,22
"National Institute of Technology Patna","Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",12,0,12
"National Institute of Technology Patna","Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11,0,11
"National Institute of Technology Patna","Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",11,0,11
"National Institute of Technology Patna","Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11,0,11
"National Institute of Technology Patna","Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",11,0,11
"National Institute of Technology Patna","Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11,0,11
"National Institute of Technology Patna","Electrical Engineering with Specialization in Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",12,0,12
"National Institute of Technology Patna","Electrical Engineering with Specialization in Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11,0,11
"National Institute of Technology Patna","Mechanical Engineering with specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",12,0,12
"National Institute of Technology Patna","Mechanical Engineering with specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11,0,11
"National Institute of Technology Patna","Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5,0,5
"National Institute of Technology Patna","Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5,0,5
"National Institute of Technology Patna","Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5,0,5
"National Institute of Technology Patna","Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5,0,5
"National Institute of Technology Patna","Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5,0,5
"National Institute of Technology Patna","Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5,0,5
"National Institute of Technology Patna","Chemical Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5,0,5
"National Institute of Technology Patna","Chemical Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5,0,5
"National Institute of Technology","Civil Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",22,0,22
"National Institute of Technology Puducherry","Civil Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",23,0,23
"National Institute of Technology Puducherry","Computer Science and Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30,0,30
"National Institute of Technology Puducherry","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30,0,30
"National Institute of Technology Puducherry","Electronics and Communication Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30,0,30
"National Institute of Technology Puducherry","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30,0,30
"National Institute of Technology Puducherry","Mechanical Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",25,0,25
"National Institute of Technology Puducherry","Mechanical Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",25,0,25
"National Institute of Technology Puducherry","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30,0,30
"National Institute of Technology Puducherry","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",30,0,30
"National Institute of Technology Raipur","Bio Technology (4 Years, Bachelor of Technology) CHHATTISGARH",40,0,40
"National Institute of Technology Raipur","Bio Technology (4 Years, Bachelor of Technology) Other than CHHATTISGARH",39,0,39
"National Institute of Technology Raipur","Chemical Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",39,0,39
"National Institute of Technology Raipur","Chemical Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",40,0,40
"National Institute of Technology Raipur","Civil Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",49,0,49
"National Institute of Technology Raipur","Civil Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",48,0,48
"National Institute of Technology Raipur","Computer Science and Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",57,0,57
"National Institute of Technology Raipur","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57,0,57
"National Institute of Technology Raipur","Electrical Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",57,0,57
"National Institute of Technology Raipur","Electrical Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",58,0,58
"National Institute of Technology Raipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",57,0,57
"National Institute of Technology Raipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57,0,57
"National Institute of Technology Raipur","Mechanical Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",58,0,58
"National Institute of Technology Raipur","Mechanical Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57,0,57
"National Institute of Technology Raipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",58,0,58
"National Institute of Technology Raipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57,0,57
"National Institute of Technology Raipur","Mining Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",48,0,48
"National Institute of Technology Raipur","Mining Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",49,0,49
"National Institute of Technology Raipur","Information Technology (4 Years, Bachelor of Technology) CHHATTISGARH",57,0,57
"National Institute of Technology Raipur","Information Technology (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57,0,57
"National Institute of Technology Raipur","Bio Medical Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",39,1,40
"National Institute of Technology Raipur","Bio Medical Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",40,0,40
"National Institute of Technology Raipur","Architecture (5 Years, Bachelor of Architecture) CHHATTISGARH",20,0,20
"National Institute of Technology Raipur","Architecture (5 Years, Bachelor of Architecture) Other than CHHATTISGARH",20,0,20
"National Institute of Technology Sikkim","Civil Engineering (4 Years, Bachelor of Technology) SIKKIM",15,0,15
"National Institute of Technology Sikkim","Civil Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",15,0,15
"National Institute of Technology Sikkim","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) SIKKIM",15,0,15
"National Institute of Technology Sikkim","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) Other than SIKKIM",15,0,15
"National Institute of Technology Sikkim","Computer Science and Engineering (4 Years, Bachelor of Technology) SIKKIM",20,0,20
"National Institute of Technology Sikkim","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",20,0,20
"National Institute of Technology Sikkim","Electronics and Communication Engineering (4 Years, Bachelor of Technology) SIKKIM",15,0,15
"National Institute of Technology Sikkim","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",15,0,15
"National Institute of Technology Sikkim","Mechanical Engineering (4 Years, Bachelor of Technology) SIKKIM",15,0,15
"National Institute of Technology Sikkim","Mechanical Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",15,0,15
"National Institute of Technology Sikkim","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) SIKKIM",15,0,15
"National Institute of Technology Sikkim","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",15,0,15
"National Institute of Technology Arunachal Pradesh","Civil Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16
"National Institute of Technology Arunachal Pradesh","Civil Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16,0,16
"National Institute of Technology Arunachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16
"National Institute of Technology Arunachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16,0,16
"National Institute of Technology Arunachal Pradesh","Electrical Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16
"National Institute of Technology Arunachal Pradesh","Electrical Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16,0,16
"National Institute of Technology Arunachal Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16
"National Institute of Technology Arunachal Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16,0,16
"National Institute of Technology Arunachal Pradesh","Mechanical Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16,0,16
